Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	0	3.0	0	15000	laukoo1	Laughing Kookaburra	0.7190
2	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	0	3.0	0	15000	grewoo2	Green Woodhoopoe	0.1911
3	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	3.0	6.0	0	15000	laukoo1	Laughing Kookaburra	0.4809
4	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	6.0	9.0	0	15000	snogoo	Snow Goose	0.3121
5	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	6.0	9.0	0	15000	laukoo1	Laughing Kookaburra	0.1063
6	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	9.0	12.0	0	15000	snogoo	Snow Goose	0.5531
7	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	9.0	12.0	0	15000	tunswa	Tundra Swan	0.3268
8	Spectrogram 1	1	example/low-freq\Dacelo novaeguineae_Laughing Kookaburra\XC858893 - Laughing Kookaburra - Dacelo novaeguineae.mp3	13	12.0	15.0	0	15000	t-11031961	Coyote	0.1456
