Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus cyaneus,Superb Fairywren,0.1400436
0,3.0,Conirostrum cinereum,Cinereous Conebill,0.12273084
3.0,6.0,Malurus cyaneus,Superb Fairywren,0.5369349
6.0,9.0,Malurus cyaneus,Superb Fairywren,0.9844959
6.0,9.0,Malurus melanocephalus,Red-backed Fairywren,0.1714649
9.0,12.0,Emberiza cirlus,Cirl Bunting,0.32279092
15.0,18.0,Malurus cyaneus,Superb Fairywren,0.9677811
15.0,18.0,Malurus splendens,Splendid Fairywren,0.5518996
15.0,18.0,Malurus lamberti,Variegated Fairywren,0.33410755
18.0,21.0,Malurus melanocephalus,Red-backed Fairywren,0.21908778
18.0,21.0,Malurus cyaneus,Superb Fairywren,0.16118243
21.0,24.0,Sicalis luteola,Grassland Yellow-Finch,0.25155446
21.0,24.0,Malurus cyaneus,Superb Fairywren,0.16254191
21.0,24.0,Emberiza cirlus,Cirl Bunting,0.15567304
24.0,27.0,Malurus cyaneus,Superb Fairywren,0.73920804
27.0,30.0,Emberiza cirlus,Cirl Bunting,0.6818543
27.0,30.0,Emberiza cia,Rock Bunting,0.42780325
27.0,30.0,Malurus cyaneus,Superb Fairywren,0.39355007
27.0,30.0,Turdus merula,Eurasian Blackbird,0.11085712
30.0,33.0,Malurus cyaneus,Superb Fairywren,0.9307463
30.0,33.0,Petroica boodang,Scarlet Robin,0.23907481
30.0,33.0,Myzomela sanguinolenta,Scarlet Myzomela,0.12780578
33.0,36.0,Malurus cyaneus,Superb Fairywren,0.43657574
36.0,39.0,Sicalis luteola,Grassland Yellow-Finch,0.1397418
39.0,42.0,Malurus cyaneus,Superb Fairywren,0.9319144
39.0,42.0,Malurus splendens,Splendid Fairywren,0.4811095
42.0,45.0,Malurus cyaneus,Superb Fairywren,0.86753273
45.0,48.0,Malurus cyaneus,Superb Fairywren,0.96959823
48.0,51.0,Malurus cyaneus,Superb Fairywren,0.9542203
48.0,51.0,Malurus melanocephalus,Red-backed Fairywren,0.2030101
51.0,54.0,Emberiza cirlus,Cirl Bunting,0.15261237
51.0,54.0,Turdus philomelos,Song Thrush,0.106122665
