Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus cyaneus,Superb Fairywren,0.5754941
0,3.0,Malurus splendens,Splendid Fairywren,0.1766339
3.0,6.0,Malurus cyaneus,Superb Fairywren,0.7183254
6.0,9.0,Turdus merula,Eurasian Blackbird,0.35674405
9.0,12.0,Malurus cyaneus,Superb Fairywren,0.33838814
12.0,15.0,Serinus serinus,European Serin,0.12786122
12.0,15.0,Malurus cyaneus,Superb Fairywren,0.11863291
21.0,24.0,Malurus cyaneus,Superb Fairywren,0.35309288
21.0,24.0,Acanthiza pusilla,Brown Thornbill,0.1656862
24.0,27.0,Malurus cyaneus,Superb Fairywren,0.91225183
24.0,27.0,Malurus melanocephalus,Red-backed Fairywren,0.12062345
27.0,30.0,Malurus cyaneus,Superb Fairywren,0.56353074
33.0,36.0,Emberiza cirlus,Cirl Bunting,0.150488
39.0,42.0,Malurus cyaneus,Superb Fairywren,0.98955077
39.0,42.0,Malurus splendens,Splendid Fairywren,0.26499322
42.0,45.0,Malurus cyaneus,Superb Fairywren,0.68882346
45.0,48.0,Malurus cyaneus,Superb Fairywren,0.7543338
45.0,48.0,Cinclodes albiventris,Cream-winged Cinclodes,0.16094722
