Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Podargus strigoides,Tawny Frogmouth,0.69696677
0,3.0,Ninox strenua,Powerful Owl,0.16646601
3.0,6.0,Podargus strigoides,Tawny Frogmouth,0.7778784
3.0,6.0,Strix nebulosa,Great Gray Owl,0.25859028
3.0,6.0,Ninox strenua,Powerful Owl,0.16977085
6.0,9.0,Podargus strigoides,Tawny Frogmouth,0.9561901
6.0,9.0,Columba larvata,Lemon Dove,0.19249597
12.0,15.0,Podargus strigoides,Tawny Frogmouth,0.13424854
15.0,18.0,Podargus strigoides,Tawny Frogmouth,0.5514875
18.0,21.0,Podargus strigoides,Tawny Frogmouth,0.2794079
18.0,21.0,Bubo virginianus,Great Horned Owl,0.12978917
33.0,36.0,Podargus strigoides,Tawny Frogmouth,0.59092754
33.0,36.0,Strix nebulosa,Great Gray Owl,0.11894435
36.0,39.0,Podargus strigoides,Tawny Frogmouth,0.912114
39.0,42.0,Podargus strigoides,Tawny Frogmouth,0.8609693
42.0,45.0,Podargus strigoides,Tawny Frogmouth,0.9069179
42.0,45.0,Turnix varius,Painted Buttonquail,0.11035046
45.0,48.0,Podargus strigoides,Tawny Frogmouth,0.79632676
48.0,51.0,Podargus strigoides,Tawny Frogmouth,0.42766112
66.0,69.0,Podargus strigoides,Tawny Frogmouth,0.7877691
69.0,72.0,Podargus strigoides,Tawny Frogmouth,0.9502226
72.0,75.0,Podargus strigoides,Tawny Frogmouth,0.35170615
75.0,78.0,Podargus strigoides,Tawny Frogmouth,0.90122724
78.0,81.0,Podargus strigoides,Tawny Frogmouth,0.51334023
81.0,84.0,Podargus strigoides,Tawny Frogmouth,0.11528473
84.0,87.0,Podargus strigoides,Tawny Frogmouth,0.17086141
