Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Petroica rosea,Rose Robin,0.58894503
3.0,6.0,Petroica rosea,Rose Robin,0.21791042
3.0,6.0,Turnix varius,Painted Buttonquail,0.14020611
3.0,6.0,Ninox connivens,Barking Owl,0.10651535
3.0,6.0,Chenonetta jubata,Maned Duck,0.10169351
6.0,9.0,Podargus strigoides,Tawny Frogmouth,0.96060675
6.0,9.0,Chenonetta jubata,Maned Duck,0.12075352
9.0,12.0,Podargus strigoides,Tawny Frogmouth,0.97355515
12.0,15.0,Podargus strigoides,Tawny Frogmouth,0.8630252
15.0,18.0,Podargus strigoides,Tawny Frogmouth,0.9725151
18.0,21.0,Podargus strigoides,Tawny Frogmouth,0.90733975
21.0,24.0,Podargus strigoides,Tawny Frogmouth,0.88517034
24.0,27.0,Podargus strigoides,Tawny Frogmouth,0.96573836
27.0,30.0,Podargus strigoides,Tawny Frogmouth,0.88456655
30.0,33.0,Podargus strigoides,Tawny Frogmouth,0.24706966
30.0,33.0,Turnix varius,Painted Buttonquail,0.16064194
33.0,36.0,Podargus strigoides,Tawny Frogmouth,0.16655394
36.0,39.0,Turnix maculosus,Red-backed Buttonquail,0.32819363
36.0,39.0,Turnix varius,Painted Buttonquail,0.28163123
36.0,39.0,Podargus strigoides,Tawny Frogmouth,0.16374454
36.0,39.0,Petroica rosea,Rose Robin,0.14949192
36.0,39.0,Phaps elegans,Brush Bronzewing,0.10088634
39.0,42.0,Petroica rosea,Rose Robin,0.35671172
39.0,42.0,Turnix varius,Painted Buttonquail,0.11443603
42.0,45.0,Podargus strigoides,Tawny Frogmouth,0.97305775
42.0,45.0,Turnix varius,Painted Buttonquail,0.13007492
42.0,45.0,Bucorvus leadbeateri,Southern Ground-Hornbill,0.10395365
45.0,48.0,Podargus strigoides,Tawny Frogmouth,0.9522849
45.0,48.0,Turnix varius,Painted Buttonquail,0.15457667
48.0,51.0,Podargus strigoides,Tawny Frogmouth,0.9683501
51.0,54.0,Podargus strigoides,Tawny Frogmouth,0.90986377
54.0,57.0,Podargus strigoides,Tawny Frogmouth,0.90735424
57.0,60.0,Podargus strigoides,Tawny Frogmouth,0.963101
60.0,63.0,Podargus strigoides,Tawny Frogmouth,0.8336727
63.0,66.0,Podargus strigoides,Tawny Frogmouth,0.15188065
63.0,66.0,Turnix varius,Painted Buttonquail,0.14837469
63.0,66.0,Turnix maculosus,Red-backed Buttonquail,0.10756206
