Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	0	3.0	0	15000	rosrob1	Rose Robin	0.5889
2	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	3.0	6.0	0	15000	rosrob1	Rose Robin	0.2179
3	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	3.0	6.0	0	15000	paibut	Painted Buttonquail	0.1402
4	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	3.0	6.0	0	15000	barowl1	Barking Owl	0.1065
5	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	3.0	6.0	0	15000	manduc1	Maned Duck	0.1017
6	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	6.0	9.0	0	15000	tawfro1	Tawny Frogmouth	0.9606
7	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	6.0	9.0	0	15000	manduc1	Maned Duck	0.1208
8	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	9.0	12.0	0	15000	tawfro1	Tawny Frogmouth	0.9736
9	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	12.0	15.0	0	15000	tawfro1	Tawny Frogmouth	0.8630
10	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	15.0	18.0	0	15000	tawfro1	Tawny Frogmouth	0.9725
11	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	18.0	21.0	0	15000	tawfro1	Tawny Frogmouth	0.9073
12	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	21.0	24.0	0	15000	tawfro1	Tawny Frogmouth	0.8852
13	Spectrogram 1	1	example/low-freq\Podargus strigoides_Tawny Frogmouth\XC445534 - Tawny Frogmouth - Podargus strigoides.mp3	68	24.0	27.0	0	15000	tawfro1	Tawny Frogmouth	0.9657
