Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	0	3.0	0	15000	yertho1	Yellow-rumped Thornbill	0.9599
2	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	0	3.0	0	15000	gryfan1	Gray Fantail	0.2034
3	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	0	3.0	0	15000	supfai1	Superb Fairywren	0.2031
4	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	0	3.0	0	15000	eurser1	European Serin	0.1036
5	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	3.0	6.0	0	15000	supfai1	Superb Fairywren	0.1799
6	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	6.0	9.0	0	15000	brbfly1	Broad-billed Flycatcher	0.1574
7	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	9.0	12.0	0	15000	varfai5	Variegated Fairywren	0.1657
8	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	12.0	15.0	0	15000	eurser1	European Serin	0.8824
9	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	12.0	15.0	0	15000	supfai1	Superb Fairywren	0.1988
10	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	12.0	15.0	0	15000	rebfai1	Red-backed Fairywren	0.1175
11	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	15.0	18.0	0	15000	eurser1	European Serin	0.3358
12	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	15.0	18.0	0	15000	bruwat1	Little Wattlebird	0.2291
13	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	15.0	18.0	0	15000	supfai1	Superb Fairywren	0.1430
14	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	18.0	21.0	0	15000	supfai1	Superb Fairywren	0.1989
15	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	21.0	24.0	0	15000	crifin1	Crimson Finch	0.1175
16	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	21.0	24.0	0	15000	brbfly1	Broad-billed Flycatcher	0.1166
17	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	21.0	24.0	0	15000	gohcis1	Golden-headed Cisticola	0.1020
18	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	24.0	27.0	0	15000	yertho1	Yellow-rumped Thornbill	0.5098
19	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	24.0	27.0	0	15000	supfai1	Superb Fairywren	0.2271
20	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	30.0	33.0	0	15000	varfai5	Variegated Fairywren	0.4403
21	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	30.0	33.0	0	15000	supfai1	Superb Fairywren	0.4111
22	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	30.0	33.0	0	15000	rebfai1	Red-backed Fairywren	0.2053
23	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	30.0	33.0	0	15000	cibflo1	Cinnamon-bellied Flowerpiercer	0.1864
24	Spectrogram 1	1	example/fairywren\Malurus lamberti_Variegated Fairywren\XC773065 - Variegated Fairywren - Malurus lamberti.mp3	33	30.0	33.0	0	15000	eurser1	European Serin	0.1192
