Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus lamberti,Variegated Fairywren,0.9898173
0,3.0,Malurus assimilis,Purple-backed Fairywren,0.63625336
3.0,6.0,Cormobates leucophaea,White-throated Treecreeper,0.10633319
6.0,9.0,Malurus lamberti,Variegated Fairywren,0.94177043
6.0,9.0,Malurus cyaneus,Superb Fairywren,0.2319159
6.0,9.0,Malurus melanocephalus,Red-backed Fairywren,0.14274436
6.0,9.0,Malurus assimilis,Purple-backed Fairywren,0.14243817
9.0,12.0,Malurus lamberti,Variegated Fairywren,0.7029749
12.0,15.0,Phaethornis rupurumii,Streak-throated Hermit,0.19556648
15.0,18.0,Malurus lamberti,Variegated Fairywren,0.25248158
15.0,18.0,Aeronautes montivagus,White-tipped Swift,0.12134177
