Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus leucopterus,White-winged Fairywren,0.99918586
0,3.0,Malurus melanocephalus,Red-backed Fairywren,0.12764932
3.0,6.0,Malurus leucopterus,White-winged Fairywren,0.9997553
3.0,6.0,Malurus melanocephalus,Red-backed Fairywren,0.25182745
3.0,6.0,Malurus cyaneus,Superb Fairywren,0.1087155
3.0,6.0,Malurus assimilis,Purple-backed Fairywren,0.10845818
6.0,9.0,Malurus assimilis,Purple-backed Fairywren,0.6012581
6.0,9.0,Malurus leucopterus,White-winged Fairywren,0.15673447
9.0,12.0,Malurus assimilis,Purple-backed Fairywren,0.51715696
9.0,12.0,Malurus cyaneus,Superb Fairywren,0.25602606
12.0,15.0,Malurus leucopterus,White-winged Fairywren,0.99432665
12.0,15.0,Malurus cyaneus,Superb Fairywren,0.29925346
12.0,15.0,Malurus assimilis,Purple-backed Fairywren,0.26062867
12.0,15.0,Malurus melanocephalus,Red-backed Fairywren,0.20256913
15.0,18.0,Malurus leucopterus,White-winged Fairywren,0.7036007
18.0,21.0,Malurus leucopterus,White-winged Fairywren,0.8411938
18.0,21.0,Malurus cyaneus,Superb Fairywren,0.6001415
21.0,24.0,Malurus leucopterus,White-winged Fairywren,0.5880859
21.0,24.0,Malurus assimilis,Purple-backed Fairywren,0.37235346
21.0,24.0,Sicalis luteola,Grassland Yellow-Finch,0.11142586
24.0,27.0,Malurus leucopterus,White-winged Fairywren,0.79217887
24.0,27.0,Malurus cyaneus,Superb Fairywren,0.45621228
24.0,27.0,Sicalis luteola,Grassland Yellow-Finch,0.17025147
27.0,30.0,Malurus leucopterus,White-winged Fairywren,0.9370085
27.0,30.0,Malurus assimilis,Purple-backed Fairywren,0.81674737
27.0,30.0,Malurus cyaneus,Superb Fairywren,0.52891517
27.0,30.0,Malurus melanocephalus,Red-backed Fairywren,0.5157489
27.0,30.0,Malurus splendens,Splendid Fairywren,0.10091677
33.0,36.0,Malurus leucopterus,White-winged Fairywren,0.98995566
36.0,39.0,Malurus leucopterus,White-winged Fairywren,0.9378164
36.0,39.0,Malurus cyaneus,Superb Fairywren,0.33895457
36.0,39.0,Malurus splendens,Splendid Fairywren,0.21743912
42.0,45.0,Malurus cyaneus,Superb Fairywren,0.6143127
42.0,45.0,Malurus leucopterus,White-winged Fairywren,0.4593305
42.0,45.0,Sicalis luteola,Grassland Yellow-Finch,0.12419851
45.0,48.0,Malurus leucopterus,White-winged Fairywren,0.98960096
45.0,48.0,Malurus assimilis,Purple-backed Fairywren,0.5712474
45.0,48.0,Malurus cyaneus,Superb Fairywren,0.29608288
