Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Cincloramphus mathewsi,Rufous Songlark,0.12749378
3.0,6.0,Malurus leucopterus,White-winged Fairywren,0.95201933
6.0,9.0,Malurus leucopterus,White-winged Fairywren,0.97263443
6.0,9.0,Alauda arvensis,Eurasian Skylark,0.11892826
