Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
0,3.0,Malurus melanocephalus,Red-backed Fairywren,0.19299258
3.0,6.0,Malurus assimilis,Purple-backed Fairywren,0.36529863
6.0,9.0,Malurus assimilis,Purple-backed Fairywren,0.23479533
6.0,9.0,Anthoscopus musculus,Mouse-colored Penduline-Tit,0.18950608
6.0,9.0,Lesbia victoriae,Black-tailed Trainbearer,0.12501
9.0,12.0,Malurus assimilis,Purple-backed Fairywren,0.7175562
12.0,15.0,Sephanoides sephaniodes,Green-backed Firecrown,0.60156024
12.0,15.0,Malurus assimilis,Purple-backed Fairywren,0.30294725
15.0,18.0,Tangara desmaresti,Brassy-breasted Tanager,0.1824064
24.0,27.0,Regulus ignicapilla,Common Firecrest,0.18482882
30.0,33.0,Merops philippinus,Blue-tailed Bee-eater,0.39135644
30.0,33.0,Sephanoides sephaniodes,Green-backed Firecrown,0.20891255
30.0,33.0,Apalis thoracica,Bar-throated Apalis,0.17411412
30.0,33.0,Myiothlypis leucoblephara,White-browed Warbler,0.15086696
30.0,33.0,Turdus philomelos,Song Thrush,0.10542418
33.0,36.0,Certhia familiaris,Eurasian Treecreeper,0.3229449
33.0,36.0,Malurus assimilis,Purple-backed Fairywren,0.25622237
33.0,36.0,Regulus satrapa,Golden-crowned Kinglet,0.12931435
42.0,45.0,Motacilla cinerea,Gray Wagtail,0.66125673
45.0,48.0,Malurus assimilis,Purple-backed Fairywren,0.91495746
54.0,57.0,Motacilla cinerea,Gray Wagtail,0.2561715
57.0,60.0,Motacilla cinerea,Gray Wagtail,0.15102486
63.0,66.0,Malurus assimilis,Purple-backed Fairywren,0.37860838
66.0,69.0,Malurus melanocephalus,Red-backed Fairywren,0.30926216
66.0,69.0,Malurus assimilis,Purple-backed Fairywren,0.16793971
