Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
90	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2091.0	2094.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9939
91	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2094.0	2097.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9672
92	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2106.0	2109.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9993
93	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2109.0	2112.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9992
94	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2112.0	2115.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9970
95	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2304.0	2307.0	0	8000.0	whwfai1	White-winged Fairywren	0.8336
96	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2406.0	2409.0	0	8000.0	whwfai1	White-winged Fairywren	0.8904
97	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2496.0	2499.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9152
98	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2502.0	2505.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.7811
99	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2505.0	2508.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9720
100	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2508.0	2511.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9838
101	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2511.0	2514.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.7012
102	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2514.0	2517.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9922
103	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2517.0	2520.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9777
