Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
81.0,84.0,Phoenicopterus roseus,Greater Flamingo,0.2615381
84.0,87.0,Antigone rubicunda,Brolga,0.9466897
84.0,87.0,Penelope argyrotis,Band-tailed Guan,0.11773622
87.0,90.0,Antigone rubicunda,Brolga,0.92651933
87.0,90.0,Antigone canadensis,Sandhill Crane,0.3975566
87.0,90.0,Cygnus cygnus,Whooper Swan,0.21532568
87.0,90.0,Phoenicopterus roseus,Greater Flamingo,0.19802
87.0,90.0,Cygnus columbianus,Tundra Swan,0.12145141
90.0,93.0,Antigone rubicunda,Brolga,0.99515164
93.0,96.0,Antigone rubicunda,Brolga,0.99110425
96.0,99.0,Antigone rubicunda,Brolga,0.9794724
96.0,99.0,Grus grus,Common Crane,0.14928022
99.0,102.0,Antigone rubicunda,Brolga,0.8882803
99.0,102.0,Penelope argyrotis,Band-tailed Guan,0.1314726
102.0,105.0,Antigone rubicunda,Brolga,0.9607487
102.0,105.0,Grus grus,Common Crane,0.11578353
105.0,108.0,Antigone rubicunda,Brolga,0.6950771
105.0,108.0,Grus grus,Common Crane,0.30788857
105.0,108.0,Grus japonensis,Red-crowned Crane,0.20474814
108.0,111.0,Antigone rubicunda,Brolga,0.9466745
108.0,111.0,Grus grus,Common Crane,0.18024012
111.0,114.0,Antigone rubicunda,Brolga,0.93819356
111.0,114.0,Cygnus columbianus,Tundra Swan,0.14473476
114.0,117.0,Antigone rubicunda,Brolga,0.970447
114.0,117.0,Phoenicopterus roseus,Greater Flamingo,0.43512502
117.0,120.0,Antigone rubicunda,Brolga,0.9853081
117.0,120.0,Phoenicopterus roseus,Greater Flamingo,0.23767176
120.0,123.0,Antigone rubicunda,Brolga,0.9535195
120.0,123.0,Grus grus,Common Crane,0.1349669
123.0,126.0,Antigone rubicunda,Brolga,0.9096122
123.0,126.0,Grus grus,Common Crane,0.4786815
