Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	0	3.0	0	15000	brolga1	Brolga	0.8988
2	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	3.0	6.0	0	15000	brolga1	Brolga	0.9972
3	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	3.0	6.0	0	15000	sancra	Sandhill Crane	0.2993
4	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	3.0	6.0	0	15000	tunswa	Tundra Swan	0.1622
5	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	3.0	6.0	0	15000	comcra	Common Crane	0.1149
6	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	6.0	9.0	0	15000	brolga1	Brolga	0.9607
7	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	9.0	12.0	0	15000	brolga1	Brolga	0.5485
8	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	12.0	15.0	0	15000	brolga1	Brolga	0.2862
9	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	15.0	18.0	0	15000	brolga1	Brolga	0.9131
10	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	15.0	18.0	0	15000	grefla3	Greater Flamingo	0.5748
11	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	15.0	18.0	0	15000	auspel1	Australian Pelican	0.2345
12	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	15.0	18.0	0	15000	reccra1	Red-crowned Crane	0.1531
13	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	18.0	21.0	0	15000	brolga1	Brolga	0.7888
14	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	18.0	21.0	0	15000	comcra	Common Crane	0.2806
15	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	18.0	21.0	0	15000	grefla3	Greater Flamingo	0.1865
16	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	21.0	24.0	0	15000	brolga1	Brolga	0.9698
17	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	21.0	24.0	0	15000	grefla3	Greater Flamingo	0.2315
18	Spectrogram 1	1	example/low-freq\Antigone rubicunda_Brolga\XC602967 - Brolga - Antigone rubicunda.mp3	126	24.0	27.0	0	15000	brolga1	Brolga	0.9544
