Begin Time (s),End Time (s),Scientific Name,Common Name,Confidence
3.0,6.0,Malurus cyaneus,Superb Fairywren,0.7946009
3.0,6.0,Malurus splendens,Splendid Fairywren,0.6438111
6.0,9.0,Malurus splendens,Splendid Fairywren,0.92729807
6.0,9.0,Malurus cyaneus,Superb Fairywren,0.16152354
6.0,9.0,Cinnyris reichenowi,Northern Double-collared Sunbird,0.14251424
9.0,12.0,Malurus cyaneus,Superb Fairywren,0.7035767
9.0,12.0,Malurus splendens,Splendid Fairywren,0.16875738
12.0,15.0,Malurus cyaneus,Superb Fairywren,0.78962266
12.0,15.0,Malurus splendens,Splendid Fairywren,0.41333666
18.0,21.0,Malurus cyaneus,Superb Fairywren,0.9504363
18.0,21.0,Malurus splendens,Splendid Fairywren,0.3153352
21.0,24.0,Malurus splendens,Splendid Fairywren,0.22640936
21.0,24.0,Malurus cyaneus,Superb Fairywren,0.14400133
